所在縣市,醫院名稱,編號,醫院評鑑結果,教學醫院評鑑結果,醫院評鑑合格效期,教學醫院合格效期,醫院電話,地址
桃園市,衛生福利部桃園醫院新屋分院,2,醫院評鑑優等（地區醫院）,非教學醫院,104/1/1-107/12/31,-,03-4971989,桃園市新屋區新褔二路6號
桃園市,國軍桃園總醫院附設民眾診療服務處,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,03-4799595,桃園市龍潭區中興路168號
桃園市,臺北榮民總醫院桃園分院,4,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,03-3384889,桃園市桃園區成功路三段100號
桃園市,天成醫療社團法人天晟醫院,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,03-4629292,桃園市中壢區延平路155號
桃園市,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,6,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,105/1/1-108/12/31,03-3613141,桃園市桃園區建新街123號
桃園市,長庚醫療財團法人林口長庚紀念醫院,7,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,106/1/1-109/12/31,106/1/1-109/12/31,03-3281200,桃園市龜山區復興街5號
桃園市,長庚醫療財團法人桃園長庚紀念醫院及其長青院區,8,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,03-3196200,桃園市龜山區舊路里頂湖路123號_123-1號_東舊路坑26之8號
桃園市,敏盛綜合醫院及其三民院區,9,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,03-3179599,桃園市桃園區經國路168號_三民路三段106號
桃園市,天成醫院,10,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,03-4782350,桃園市楊梅區中山北路一段356號
桃園市,怡仁綜合醫院,11,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,03-4855566,桃園市楊梅區楊新北路321巷30號
桃園市,壢新醫院,12,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,03-4941234,桃園市平鎮區廣泰路77號_延平路二段430巷115號
新竹市,國立臺灣大學醫學院附設醫院新竹分院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,03-5326151,新竹市北區經國路一段442巷25號
新竹市,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,03-6119595,新竹市東區光復里光復路二段690號
新竹市,國泰醫療財團法人新竹國泰綜合醫院,3,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,03-5278999,新竹市東區福德里中華路二段678號及678號之1
新竹縣,臺北榮民總醫院新竹分院,1,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,106/1/1-109/12/31,105/1/1-108/12/31,03-5962134,新竹縣竹東鎮中豐路一段81號
新竹縣,天主教仁慈醫療財團法人仁慈醫院,2,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,03-5993500,新竹縣湖口鄉忠孝路29號
新竹縣,東元綜合醫院,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,105/1/1-108/12/31,03-5527000,新竹縣竹北市縣政二路69號
苗栗縣,衛生福利部苗栗醫院,1,醫院評鑑優等（區域醫院）,非教學醫院,105/1/1-108/12/31,-,037-261920,苗栗縣苗栗市為公路747號
苗栗縣,李綜合醫療社團法人苑裡李綜合醫院,2,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,037-862387,苗栗縣苑裡鎮和平路168號_苗栗縣苑裡鎮中華路137號
苗栗縣,財團法人為恭紀念醫院及其東興院區,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,037-676811,苗栗縣頭份鎮信義路128號_苗栗縣頭份鎮水源路417巷11號及13號
苗栗縣,大千綜合醫院,4,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,037-357125,苗栗縣苗栗市大同路133號_信義路23號_恭敬路36號_信義街36號
臺中市,衛生福利部臺中醫院,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,105/1/1-108/12/31,04-22294411,臺中市西區廣民里三民路1段199號
臺中市,衛生福利部豐原醫院,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,105/1/1-108/12/31,04-25271180,臺中市豐原區安康路100號
臺中市,國軍臺中總醫院附設民眾診療服務處,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,04-23934191,臺中市太平區中山路二段348號
臺中市,臺中榮民總醫院,4,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,04-23592525,臺中市西屯區臺灣大道四段1650號
臺中市,林新醫療社團法人林新醫院,5,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,105/1/1-108/12/31,04-22586688,臺中市南屯區惠中路三段36號
臺中市,李綜合醫療社團法人大甲李綜合醫院,6,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,04-26862288,臺中市大甲區八德街2號
臺中市,光田醫療社團法人光田綜合醫院及其大甲院區,7,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,04-26625111_04-26885599,臺中市沙鹿區沙田路117號_大同街5-2號_臺中市大甲區經國路321號
臺中市,童綜合醫療社團法人童綜合醫院及其沙鹿院區,8,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,04-26581919_04-26626161,臺中市梧棲區臺灣大道八段699號_臺中市沙鹿區成功西街8號
臺中市,佛教慈濟醫療財團法人台中慈濟醫院,9,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,04-36060666,臺中市潭子區豐興路一段66號_88號
臺中市,仁愛醫療財團法人大里仁愛醫院,10,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,04-24819900,臺中市大里區東榮路483號
臺中市,中山醫學大學附設醫院,11,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,04-24739595,臺中市南區建國北路一段110號
臺中市,亞洲大學附屬醫院,12,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,107/1/1-110/12/31,04-37061668,臺中市霧峰區福新路222號
臺中市,中山醫學大學附設醫院中興分院,13,醫院評鑑優等（地區醫院）,非教學醫院,104/1/1-107/12/31,-,04-22621652,臺中市南區復興路2段11號
臺中市,中國醫藥大學附設醫院,14,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,04-22052121,臺中市北區育德路2號
臺中市,澄清綜合醫院,15,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,04-24632000,臺中市中區平等街139號
臺中市,澄清綜合醫院中港分院,16,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,04-24632000,臺中市西屯區臺灣大道4段966號
臺中市,清泉醫院,17,醫院評鑑優等（地區醫院）,非教學醫院,104/1/1-107/12/31,-,04-25605600,臺中市大雅區三和里雅潭路四段80號
彰化縣,衛生福利部彰化醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,04-8298686,彰化縣埔心鄉中正路二段80號
彰化縣,秀傳醫療社團法人秀傳紀念醫院,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,04-7256166,彰化縣彰化市南瑤里中山路一段542號
彰化縣,彰化基督教醫療財團法人彰化基督教醫院及其中華路院區,3,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,04-7238595,彰化縣彰化市南校街135號_中華路176號_旭光路235及320號
彰化縣,秀傳醫療財團法人彰濱秀傳紀念醫院,4,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,04-7813888,彰化縣鹿港鎮鹿工路6號及6-2號
彰化縣,彰化基督教醫療財團法人二林基督教醫院,5,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,105/1/1-108/12/31,04-8960128,彰化縣二林鎮南光里大成路一段558號_安和街40巷28號2樓
南投縣,臺中榮民總醫院埔里分院,1,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,106/1/1-109/12/31,104/1/1-107/12/31,049-2998911,南投縣埔里鎮蜈蚣里榮光路1號
南投縣,佑民醫療社團法人佑民醫院,2,醫院評鑑優等（地區醫院）,非教學醫院,105/1/1-108/12/31,-,049-2358151,南投縣草屯鎮太平路一段200號
南投縣,埔基醫療財團法人埔里基督教醫院,3,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,105/1/1-108/12/31,049-2912151,南投縣埔里鎮鐵山路1號
雲林縣,國立臺灣大學醫學院附設醫院雲林分院及其虎尾院區,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,05-5323911_05-6330002,雲林縣斗六市雲林路二段579號_雲林縣虎尾鎮學府路95號
雲林縣,國立成功大學醫學院附設醫院斗六分院,2,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,105/1/1-108/12/31,05-5322017,雲林縣斗六市莊敬路345號
雲林縣,天主教若瑟醫療財團法人若瑟醫院,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,105/1/1-108/12/31,05-6337333,雲林縣虎尾鎮新生路74號
雲林縣,彰化基督教醫療財團法人雲林基督教醫院,4,醫院評鑑優等（區域醫院）,醫事人員類（非醫師）教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,05-5871111,雲林縣西螺鎮新豐里市場南路375號
雲林縣,長庚醫療財團法人雲林長庚紀念醫院,5,醫院評鑑優等（地區醫院）,非教學醫院,104/1/1-107/12/31,-,05-6915151,雲林縣麥寮鄉中興村工業路1500號
雲林縣,中國醫藥大學北港附設醫院,6,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,05-7837901,雲林縣北港鎮新德路123號
嘉義市,衛生福利部嘉義醫院,1,醫院評鑑優等（地區醫院）,醫事人員類（非醫師）教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,05-2319090,嘉義市西區北港路312號
嘉義市,臺中榮民總醫院嘉義分院,2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,05-2359630,嘉義市西區劉厝里世賢路二段600號
嘉義市,戴德森醫療財團法人嘉義基督教醫院,3,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,05-2765041,嘉義市東區中庄里忠孝路539號
嘉義市,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院及其民權院區,4,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,05-2756000,嘉義市東區短竹里大雅路二段565號_嘉義市東區民權路60號
嘉義縣,長庚醫療財團法人嘉義長庚紀念醫院,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,05-3621000,嘉義縣朴子市仁和里嘉朴路西段6號_8號
嘉義縣,佛教慈濟醫療財團法人大林慈濟醫院,2,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,05-2648000,嘉義縣大林鎮平林里民生路2號
臺南市,衛生福利部臺南醫院,1,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,06-2200055,臺南市中區中山路125號
臺南市,衛生福利部胸腔病院及其門診部,2,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,06-2705911_06-2146006,臺南市仁德區中山路864號_臺南市東區大同路一段69號
臺南市,國立成功大學醫學院附設醫院,3,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,06-2353535,臺南市北區勝利路138號
臺南市,台南市立醫院(委託秀傳醫療社團法人經營),4,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,06-2609926,臺南市東區崇德路670號
臺南市,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,06-5702228,臺南市麻豆區小埤里苓子林20號
臺南市,奇美醫療財團法人佳里奇美醫院,6,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,06-7263333,臺南市佳里區興化里606號
臺南市,台灣基督長老教會新樓醫療財團法人台南新樓醫院,7,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,06-2748316,臺南市東區東門路一段57號
臺南市,奇美醫療財團法人柳營奇美醫院,8,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,06-6226999,臺南市柳營區太康里201號
臺南市,奇美醫療財團法人奇美醫院及其台南分院,9,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,06-2812811_06-2228116,臺南市永康區中華路901號_臺南市南區樹林街二段442號
臺南市,臺南市立安南醫院-委託中國醫藥大學興建經營,10,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,104/1/1-107/12/31,06-3553111,臺南市安南區長和路二段66號
臺南市,郭綜合醫院,11,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,104/1/1-107/12/31,06-2221111,臺南市中西區民生路2段6號_8號_10號_12號_14號_18號_20號_22號_23號_24號_25號_27號_44號
高雄市,高雄市立聯合醫院,1,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,07-5552565,高雄市鼓山區中華一路976號
高雄市,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),2,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,107/1/1-110/12/31,07-2911101,高雄市前金區中華三路68號
高雄市,衛生福利部旗山醫院,3,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,07-6613811,高雄市旗山區中學路60號
高雄市,國軍高雄總醫院左營分院附設民眾診療服務處,4,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,105/1/1-108/12/31,107/1/1-110/12/31,07-5811648,高雄市左營區軍校路553號
高雄市,國軍高雄總醫院附設民眾診療服務處,5,醫院評鑑合格（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,07-7496751,高雄市苓雅區建軍路5號
高雄市,高雄榮民總醫院,6,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,07-3422121,高雄市左營區大中一路386號
高雄市,阮綜合醫療社團法人阮綜合醫院,7,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,106/1/1-109/12/31,07-3351121,高雄市苓雅區成功一路162號_四維四路136號_166號_永昌街49號
高雄市,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,8,醫院評鑑優等（地區醫院）,非教學醫院,106/1/1-109/12/31,-,07-6222131,高雄市岡山區壽天路12號?
高雄市,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),9,醫院評鑑優等（區域醫院）,醫師及醫事人員類教學醫院評鑑合格,104/1/1-107/12/31,104/1/1-107/12/31,07-8036783,高雄市小港區山明路482號B1-10樓
高雄市,義大醫療財團法人義大癌治療醫院,10,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,106/1/1-109/12/31,07-6150022,高雄市燕巢區角宿里義大路21號
高雄市,天主教聖功醫療財團法人聖功醫院,11,醫院評鑑優等（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,106/1/1-109/12/31,107/1/1-110/12/31,07-2238153,高雄市苓雅區建國一路352號
高雄市,長庚醫療財團法人高雄長庚紀念醫院,12,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,07-7317123,高雄市鳥松區大埤路123號
高雄市,義大醫療財團法人義大醫院,13,醫院評鑑合格（區域醫院-準醫學中心）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,107/1/1-110/12/31,07-6150011,高雄市燕巢區角宿里義大路1號
高雄市,財團法人私立高雄醫學大學附設中和紀念醫院,14,醫院評鑑優等（醫學中心）,醫師及醫事人員類教學醫院評鑑合格（醫學中心）,107/1/1-110/12/31,107/1/1-110/12/31,07-3121101,高雄市三民區十全一路100號
高雄市,健仁醫院,15,醫院評鑑合格（地區醫院）,醫師及醫事人員類教學醫院評鑑合格,107/1/1-110/12/31,106/1/1-109/12/31,07-3517166,高雄市楠梓區楠陽路136號_朝明路130巷7弄1號1-5樓
